Time Stamp,RRI,Passed Time
165101,511,511
165102,699,1210
165102,703,1913
165103,597,2510
165104,698,3208
165104,701,3909
165105,700,4609
165106,699,5308
165106,604,5912
165107,699,6611
165108,601,7212
165108,596,7808
165109,704,8512
165110,795,9307
165110,603,9910
165111,697,10607
165112,702,11309
165112,599,11908
165113,600,12508
165114,602,13110
165114,602,13712
165115,598,14310
165115,698,15008
165116,800,15808
165117,703,16511
165118,696,17207
165118,701,17908
165119,600,18508
165120,601,19109
165120,702,19811
165121,701,20512
165122,698,21210
165122,698,21908
165123,700,22608
165124,703,23311
165125,797,24108
165125,602,24710
165126,598,25308
165126,700,26008
165127,704,26712
165128,696,27408
165129,703,28111
165129,597,28708
165130,700,29408
165130,603,30011
165131,595,30606
165132,705,31311
165132,598,31909
165133,598,32507
165134,703,33210
165134,697,33907
165135,704,34611
165136,697,35308
165136,599,35907
165137,704,36611
165138,697,37308
165138,603,37911
165139,696,38607
165140,701,39308
165140,700,40008
165141,702,40710
165142,601,41311
165142,600,41911
165143,697,42608
165144,599,43207
165144,600,43807
165145,704,44511
165146,699,45210
165146,801,46011
165147,800,46811
165148,698,47509
165149,602,48111
165149,798,48909
165150,702,49611
165151,698,50309
165151,699,51008
165152,603,51611
165153,597,52208
165153,699,52907
165154,603,53510
165155,700,54210
165155,597,54807
165156,705,55512
165157,697,56209
165157,700,56909
165158,798,57707
165159,699,58406
165200,702,59108
165200,703,59811
165201,597,60408
165202,701,61109
165202,701,61810
165203,697,62507
165204,603,63110
165204,700,63810
165205,697,64507
165206,802,65309
165206,699,66008
165207,700,66708
165208,701,67409
165209,699,68108
165209,698,68806
165210,703,69509
165211,699,70208
165211,700,70908
165212,824,71732
165213,674,72406
165214,704,73110
165214,700,73810
165215,696,74506
165216,700,75206
165216,600,75806
165217,704,76510
165218,700,77210
165218,696,77906
165219,701,78607
165220,701,79308
165220,700,80008
165221,601,80609
165222,698,81307
165222,600,81907
165223,701,82608
165224,600,83208
165224,698,83906
165225,701,84607
165226,703,85310
165227,799,86109
165227,701,86810
165228,696,87506
165229,704,88210
165229,696,88906
165230,602,89508
165231,702,90210
165231,599,90809
165232,700,91509
165233,697,92206
165233,804,93010
165234,701,93711
165235,597,94308
165235,701,95009
165236,601,95610
165237,704,96314
165237,596,96910
165238,598,97508
165239,701,98209
165239,598,98807
165240,704,99511
165241,799,100310
165242,799,101109
165242,897,102006
165243,702,102708
165244,797,103505
165245,802,104307
165246,801,105108
165246,702,105810
165247,701,106511
165248,696,107207
165248,703,107910
165249,698,108608
165250,706,109314
165250,692,110006
165251,701,110707
165252,698,111405
165253,704,112109
165253,699,112808
165254,698,113506
165255,701,114207
165255,701,114908
165256,702,115610
165257,696,116306
165257,700,117006
165258,700,117706
165259,699,118405
165259,601,119006
165300,703,119709
165301,597,120306
165301,703,121009
165302,697,121706
165303,601,122307
165303,699,123006
165304,700,123706
165305,602,124308
165305,700,125008
165306,602,125610
165307,697,126307
165308,801,127108
165308,702,127810
165309,695,128505
165310,701,129206
165310,705,129911
165311,699,130610
165312,696,131306
165312,602,131908
165313,701,132609
165314,700,133309
165314,599,133908
165315,699,134607
165316,799,135406
165317,703,136109
165317,696,136805
165318,705,137510
165319,699,138209
165319,698,138907
165320,799,139706
165321,700,140406
165321,606,141012
165322,593,141605
165323,704,142309
165323,696,143005
165324,699,143704
165325,703,144407
165326,799,145206
165326,804,146010
165327,795,146805
165328,801,147606
165329,802,148408
165330,700,149108
165330,802,149910
165331,801,150711
165332,795,151506
165333,703,152209
165333,701,152910
165334,696,153606
165335,699,154305
165335,603,154908
165336,601,155509
165337,599,156108
165337,701,156809
165338,796,157605
165339,703,158308
165339,699,159007
165340,698,159705
165341,804,160509
165342,796,161305
165342,704,162009
165343,797,162806
165344,799,163605
165345,704,164309
165345,699,165008
165346,702,165710
165347,695,166405
165347,601,167006
165348,602,167608
165349,601,168209
165349,600,168809
165350,797,169606
165351,799,170405
165352,801,171206
165353,902,172108
165353,801,172909
165354,796,173705
165355,802,174507
165356,798,175305
165356,700,176005
165357,700,176705
165358,602,177307
165358,701,178008
165359,598,178606
165400,700,179306
165401,803,180109
165401,899,181008
165402,796,181804
165403,801,182605
165404,600,183205
165404,700,183905
165405,702,184607
165406,702,185309
165407,799,186108
165407,801,186909
165408,798,187707
165409,703,188410
165410,699,189109
165410,699,189808
165411,598,190406
165412,701,191107
165412,500,191607
165413,898,192505
165414,603,193108
165414,696,193804
165415,704,194508
165416,696,195204
165416,602,195806
165417,703,196509
165418,600,197109
165418,698,197807
165419,600,198407
165419,598,199005
165420,700,199705
165421,700,200405
165422,703,201108
165422,896,202004
165423,600,202604
165424,704,203308
165424,698,204006
165425,700,204706
165426,702,205408
165427,699,206107
165427,700,206807
165428,699,207506
165429,601,208107
165429,702,208809
165430,696,209505
165431,800,210305
165431,603,210908
165432,598,211506
165433,699,212205
165433,599,212804
165434,600,213404
165435,703,214107
165435,702,214809
165436,797,215606
165437,698,216304
165437,701,217005
165438,699,217704
165439,600,218304
165439,700,219004
165440,601,219605
165441,599,220204
165441,704,220908
165442,696,221604
165443,701,222305
165443,603,222908
165444,598,223506
165445,798,224304
165445,700,225004
165446,703,225707
165447,797,226504
165448,701,227205
165448,703,227908
165449,697,228605
165450,801,229406
165450,700,230106
165451,801,230907
165452,697,231604
165453,801,232405
165454,800,233205
165454,801,234006
165455,801,234807
165456,699,235506
165456,597,236103
165457,703,236806
165458,697,237503
165459,606,238109
165459,608,238717
165500,703,239420
165501,701,240121
165501,797,240918
165502,800,241718
165503,702,242420
165503,600,243020
165504,700,243720
165505,700,244420
165506,700,245120
165506,698,245818
165507,802,246620
165508,800,247420
165509,698,248118
165509,599,248717
165510,604,249321
165510,696,250017
165511,700,250717
165512,805,251522
165513,695,252217
165514,900,253117
165514,803,253920
165515,896,254816
165516,902,255718
165517,799,256517
165518,902,257419
165519,802,258221
165519,799,259020
165520,698,259718
165521,702,260420
165521,600,261020
165522,701,261721
165523,699,262420
165524,800,263220
165524,701,263921
165525,798,264719
165526,701,265420
165526,597,266017
165527,700,266717
165528,702,267419
165529,701,268120
165529,598,268718
165530,803,269521
165531,697,270218
165531,800,271018
165532,703,271721
165533,797,272518
165534,700,273218
165534,699,273917
165535,601,274518
165536,700,275218
165536,703,275921
165537,698,276619
165538,600,277219
165538,800,278019
165539,700,278719
165540,899,279618
165541,801,280419
165542,899,281318
165543,801,282119
165543,808,282927
165544,694,283621
165545,696,284317
165545,701,285018
165546,698,285716
165547,703,286419
165548,699,287118
165548,700,287818
165549,802,288620
165550,597,289217
165550,801,290018
165551,803,290821
165552,698,291519
165553,802,292321
165554,796,293117
165554,400,293517
165555,901,294418
165556,702,295120
165556,697,295817
165557,699,296516
165558,700,297216
165558,703,297919
165559,699,298618
165600,602,299220
165600,798,300018
165601,698,300716
165602,703,301419
165603,697,302116
165603,700,302816
165604,705,303521
165605,696,304217
165605,703,304920
165606,596,305516
165607,705,306221
165607,694,306915
165608,702,307617
165609,704,308321
165609,698,309019
165610,698,309717
165611,700,310417
165612,702,311119
165612,602,311721
165613,694,312415
165614,701,313116
165614,704,313820
165615,696,314516
165616,599,315115
165616,701,315816
165617,703,316519
165618,597,317116
165618,702,317818
